id	BioSample_id	BioSampleAccession	BioSampleAccessionSecondary	BioSampleBioProjectAccession	BioSampleSRAAccession	BioSampleTitle	BioSampleName	BioSamplePackage	BioSampleOrganism	BioSampleOrganismAlt	BioSampleTaxonomyID	BioSampleIsolate	BioSampleCollectedBy	BioSampleCollectionDate	BioSampleGeographicLocation	BioSampleHost	BioSampleHostDisease	BioSampleHostAge	BioSampleHostAgeUnit	BioSampleHostSex	BioSampleHostAnatomicalPart	BioSamplePassageHistory	BioSampleGISAIDAccession	BioSampleGISAIDVirusName	BioSampleSequencedBy	BioSamplePurposeSampling	BioSamplePurposeSequencing	BioSampleCollectionDevice	BioSampleDiagGeneName	BioSamplePCRCtValue	BioSampleIsolationSource	BioSampleLat	BioSampleLatLon	BioSampleLon	BioSampleSubmissionDate	BioSampleModificationDate	BioSamplePublicationDate	BioSampleOrganization	BioSampleComment
1	29612585	SAMN29612585		PRJNA857067	SRS14083986	Pathogen: environmental/food/other sample from Streptococcus agalactiae	KALRO-Sagal2	Pathogen.env.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311		KALRO	2021-12-10	Kenya:Laikipia ranch	Camelus dromedarius															mastitis-infection		0.360600 N 36.782000 E		2022-07-08T16:32:14.963	2022-07-22T12:33:30.260	2022-07-08T00:00:00.000	Kenya Agricultural and Livestock Research Organisation
751	4593520	SAMN04593520		PRJNA315969	SRS1370286	Pathogen: clinical or host-associated sample from Streptococcus agalactiae	Streptococcus agalactiae isolate K61116	Pathogen.cl.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311		Anna Seale	2013	Kenya	Homo sapiens	N/A														recto-vaginal		3.6333 S 39.8500 E		2016-03-31T11:56:15.363	2016-04-01T10:55:36.693	2016-03-31T11:55:03.190	University of Oxford
752	4593519	SAMN04593519		PRJNA315969	SRS1370288	Pathogen: clinical or host-associated sample from Streptococcus agalactiae	Streptococcus agalactiae isolate K61115	Pathogen.cl.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311		Anna Seale	2013	Kenya	Homo sapiens	N/A														recto-vaginal		4.0500 S 39.6667 E		2016-03-31T11:56:15.323	2016-04-01T10:48:58.380	2016-03-31T11:55:03.190	University of Oxford
753	4593518	SAMN04593518		PRJNA315969	SRS1370289	Pathogen: clinical or host-associated sample from Streptococcus agalactiae	Streptococcus agalactiae isolate K61079	Pathogen.cl.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311		Anna Seale	2013	Kenya	Homo sapiens	N/A														recto-vaginal		3.6333 S 39.8500 E		2016-03-31T11:56:15.287	2016-04-01T10:55:36.373	2016-03-31T11:55:03.190	University of Oxford
754	4593517	SAMN04593517		PRJNA315969	SRS1370290	Pathogen: clinical or host-associated sample from Streptococcus agalactiae	Streptococcus agalactiae isolate K61078	Pathogen.cl.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311		Anna Seale	2013	Kenya	Homo sapiens	N/A														recto-vaginal		missing		2016-03-31T11:56:15.247	2016-04-01T10:48:58.673	2016-03-31T11:55:03.190	University of Oxford
755	4593516	SAMN04593516		PRJNA315969	SRS1370291	Pathogen: clinical or host-associated sample from Streptococcus agalactiae	Streptococcus agalactiae isolate K61069	Pathogen.cl.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311		Anna Seale	2013	Kenya	Homo sapiens	N/A														recto-vaginal		3.6333 S 39.8500 E		2016-03-31T11:56:15.207	2016-04-01T10:48:58.887	2016-03-31T11:55:03.190	University of Oxford
756	4593515	SAMN04593515		PRJNA315969	SRS1370292	Pathogen: clinical or host-associated sample from Streptococcus agalactiae	Streptococcus agalactiae isolate K61068	Pathogen.cl.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311		Anna Seale	2013	Kenya	Homo sapiens	N/A														recto-vaginal		3.6333 S 39.8500 E		2016-03-31T11:56:15.170	2016-04-01T10:55:36.113	2016-03-31T11:55:03.190	University of Oxford
757	4593514	SAMN04593514		PRJNA315969	SRS1370293	Pathogen: clinical or host-associated sample from Streptococcus agalactiae	Streptococcus agalactiae isolate K61067	Pathogen.cl.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311		Anna Seale	2013	Kenya	Homo sapiens	N/A														recto-vaginal		3.6333 S 39.8500 E		2016-03-31T11:56:15.137	2016-04-01T10:55:35.853	2016-03-31T11:55:03.190	University of Oxford
758	4593513	SAMN04593513		PRJNA315969	SRS1370294	Pathogen: clinical or host-associated sample from Streptococcus agalactiae	Streptococcus agalactiae isolate K61066	Pathogen.cl.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311		Anna Seale	2013	Kenya	Homo sapiens	N/A														recto-vaginal		3.6333 S 39.8500 E		2016-03-31T11:56:15.100	2016-04-01T10:48:59.347	2016-03-31T11:55:03.190	University of Oxford
759	4593512	SAMN04593512		PRJNA315969	SRS1370295	Pathogen: clinical or host-associated sample from Streptococcus agalactiae	Streptococcus agalactiae isolate K61063	Pathogen.cl.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311		Anna Seale	2013	Kenya	Homo sapiens	N/A														recto-vaginal		3.6333 S 39.8500 E		2016-03-31T11:56:15.067	2016-04-01T10:48:59.573	2016-03-31T11:55:03.190	University of Oxford
760	4593511	SAMN04593511		PRJNA315969	SRS1370297	Pathogen: clinical or host-associated sample from Streptococcus agalactiae	Streptococcus agalactiae isolate K61062	Pathogen.cl.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311		Anna Seale	2013	Kenya	Homo sapiens	N/A														recto-vaginal		3.6333 S 39.8500 E		2016-03-31T11:56:15.033	2016-04-01T10:48:59.790	2016-03-31T11:55:03.190	University of Oxford
761	4593510	SAMN04593510		PRJNA315969	SRS1370296	Pathogen: clinical or host-associated sample from Streptococcus agalactiae	Streptococcus agalactiae isolate K61061	Pathogen.cl.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311		Anna Seale	2013	Kenya	Homo sapiens	N/A														recto-vaginal		3.6333 S 39.8500 E		2016-03-31T11:56:14.963	2016-04-01T10:55:35.653	2016-03-31T11:55:03.190	University of Oxford
762	4593509	SAMN04593509		PRJNA315969	SRS1370298	Pathogen: clinical or host-associated sample from Streptococcus agalactiae	Streptococcus agalactiae isolate K61060	Pathogen.cl.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311		Anna Seale	2013	Kenya	Homo sapiens	N/A														recto-vaginal		3.6333 S 39.8500 E		2016-03-31T11:56:14.910	2016-04-01T10:49:00.020	2016-03-31T11:55:03.190	University of Oxford
763	4593508	SAMN04593508		PRJNA315969	SRS1370299	Pathogen: clinical or host-associated sample from Streptococcus agalactiae	Streptococcus agalactiae isolate K61053	Pathogen.cl.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311		Anna Seale	2013	Kenya	Homo sapiens	N/A														recto-vaginal		3.6333 S 39.8500 E		2016-03-31T11:56:14.870	2016-04-01T10:55:35.400	2016-03-31T11:55:03.190	University of Oxford
764	4593507	SAMN04593507		PRJNA315969	SRS1370300	Pathogen: clinical or host-associated sample from Streptococcus agalactiae	Streptococcus agalactiae isolate K61035	Pathogen.cl.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311		Anna Seale	2013	Kenya	Homo sapiens	N/A														recto-vaginal		3.6333 S 39.8500 E		2016-03-31T11:56:14.830	2016-04-01T10:49:00.387	2016-03-31T11:55:03.190	University of Oxford
765	4593506	SAMN04593506		PRJNA315969	SRS1370301	Pathogen: clinical or host-associated sample from Streptococcus agalactiae	Streptococcus agalactiae isolate K61034	Pathogen.cl.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311		Anna Seale	2013	Kenya	Homo sapiens	N/A														recto-vaginal		missing		2016-03-31T11:56:14.787	2016-04-01T10:55:35.167	2016-03-31T11:55:03.190	University of Oxford
766	4593505	SAMN04593505		PRJNA315969	SRS1370302	Pathogen: clinical or host-associated sample from Streptococcus agalactiae	Streptococcus agalactiae isolate K61018	Pathogen.cl.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311		Anna Seale	2013	Kenya	Homo sapiens	N/A														recto-vaginal		3.6333 S 39.8500 E		2016-03-31T11:56:14.753	2016-04-01T10:49:00.640	2016-03-31T11:55:03.190	University of Oxford
767	4593504	SAMN04593504		PRJNA315969	SRS1370303	Pathogen: clinical or host-associated sample from Streptococcus agalactiae	Streptococcus agalactiae isolate K61017	Pathogen.cl.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311		Anna Seale	2013	Kenya	Homo sapiens	N/A														recto-vaginal		3.6333 S 39.8500 E		2016-03-31T11:56:14.717	2016-04-01T10:49:00.897	2016-03-31T11:55:03.190	University of Oxford
768	4593503	SAMN04593503		PRJNA315969	SRS1370304	Pathogen: clinical or host-associated sample from Streptococcus agalactiae	Streptococcus agalactiae isolate K61016	Pathogen.cl.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311		Anna Seale	2013	Kenya	Homo sapiens	N/A														recto-vaginal		3.6333 S 39.8500 E		2016-03-31T11:56:14.677	2016-04-01T10:55:34.847	2016-03-31T11:55:03.190	University of Oxford
769	4593502	SAMN04593502		PRJNA315969	SRS1370305	Pathogen: clinical or host-associated sample from Streptococcus agalactiae	Streptococcus agalactiae isolate K61008	Pathogen.cl.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311		Anna Seale	2013	Kenya	Homo sapiens	N/A														recto-vaginal		3.6333 S 39.8500 E		2016-03-31T11:56:14.643	2016-04-01T10:49:01.630	2016-03-31T11:55:03.190	University of Oxford
770	4593501	SAMN04593501		PRJNA315969	SRS1370306	Pathogen: clinical or host-associated sample from Streptococcus agalactiae	Streptococcus agalactiae isolate K61006	Pathogen.cl.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311		Anna Seale	2013	Kenya	Homo sapiens	N/A														recto-vaginal		4.0500 S 39.6667 E		2016-03-31T11:56:14.600	2016-04-01T10:49:01.167	2016-03-31T11:55:03.190	University of Oxford
771	4593500	SAMN04593500		PRJNA315969	SRS1370307	Pathogen: clinical or host-associated sample from Streptococcus agalactiae	Streptococcus agalactiae isolate K61005	Pathogen.cl.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311		Anna Seale	2013	Kenya	Homo sapiens	N/A														recto-vaginal		4.0500 S 39.6667 E		2016-03-31T11:56:14.547	2016-04-01T10:49:01.397	2016-03-31T11:55:03.190	University of Oxford
772	4593499	SAMN04593499		PRJNA315969	SRS1370308	Pathogen: clinical or host-associated sample from Streptococcus agalactiae	Streptococcus agalactiae isolate K61000	Pathogen.cl.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311		Anna Seale	2013	Kenya	Homo sapiens	N/A														recto-vaginal		3.6333 S 39.8500 E		2016-03-31T11:56:14.517	2016-04-01T10:55:34.563	2016-03-31T11:55:03.190	University of Oxford
773	4593498	SAMN04593498		PRJNA315969	SRS1370309	Pathogen: clinical or host-associated sample from Streptococcus agalactiae	Streptococcus agalactiae isolate K60999	Pathogen.cl.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311		Anna Seale	2013	Kenya	Homo sapiens	N/A														recto-vaginal		3.6333 S 39.8500 E		2016-03-31T11:56:14.480	2016-04-01T10:55:34.257	2016-03-31T11:55:03.190	University of Oxford
774	4593497	SAMN04593497		PRJNA315969	SRS1370310	Pathogen: clinical or host-associated sample from Streptococcus agalactiae	Streptococcus agalactiae isolate K60994	Pathogen.cl.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311		Anna Seale	2013	Kenya	Homo sapiens	N/A														recto-vaginal		3.6333 S 39.8500 E		2016-03-31T11:56:14.447	2016-04-01T10:49:01.887	2016-03-31T11:55:03.190	University of Oxford
775	4593496	SAMN04593496		PRJNA315969	SRS1370311	Pathogen: clinical or host-associated sample from Streptococcus agalactiae	Streptococcus agalactiae isolate K60992	Pathogen.cl.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311		Anna Seale	2013	Kenya	Homo sapiens	N/A														recto-vaginal		3.6333 S 39.8500 E		2016-03-31T11:56:14.410	2016-04-01T10:49:02.140	2016-03-31T11:55:03.190	University of Oxford
776	4593495	SAMN04593495		PRJNA315969	SRS1370312	Pathogen: clinical or host-associated sample from Streptococcus agalactiae	Streptococcus agalactiae isolate K60961	Pathogen.cl.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311		Anna Seale	2013	Kenya	Homo sapiens	N/A														recto-vaginal		3.6333 S 39.8500 E		2016-03-31T11:56:14.373	2016-04-01T10:49:02.363	2016-03-31T11:55:03.190	University of Oxford
777	4593494	SAMN04593494		PRJNA315969	SRS1370313	Pathogen: clinical or host-associated sample from Streptococcus agalactiae	Streptococcus agalactiae isolate K60957	Pathogen.cl.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311		Anna Seale	2013	Kenya	Homo sapiens	N/A														recto-vaginal		3.6333 S 39.8500 E		2016-03-31T11:56:14.337	2016-04-01T10:55:33.920	2016-03-31T11:55:03.190	University of Oxford
778	4593493	SAMN04593493		PRJNA315969	SRS1370314	Pathogen: clinical or host-associated sample from Streptococcus agalactiae	Streptococcus agalactiae isolate K60940	Pathogen.cl.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311		Anna Seale	missing	Kenya	Homo sapiens	N/A														recto-vaginal		3.6333 S 39.8500 E		2016-03-31T11:56:14.300	2016-04-01T10:49:02.577	2016-03-31T11:55:03.190	University of Oxford
779	4593492	SAMN04593492		PRJNA315969	SRS1370315	Pathogen: clinical or host-associated sample from Streptococcus agalactiae	Streptococcus agalactiae isolate K60939	Pathogen.cl.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311		Anna Seale	2013	Kenya	Homo sapiens	N/A														recto-vaginal		4.0500 S 39.6667 E		2016-03-31T11:56:14.270	2016-04-01T10:55:33.637	2016-03-31T11:55:03.190	University of Oxford
780	4593491	SAMN04593491		PRJNA315969	SRS1370316	Pathogen: clinical or host-associated sample from Streptococcus agalactiae	Streptococcus agalactiae isolate K60937	Pathogen.cl.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311		Anna Seale	2013	Kenya	Homo sapiens	N/A														recto-vaginal		4.0500 S 39.6667 E		2016-03-31T11:56:14.240	2016-04-01T10:55:33.323	2016-03-31T11:55:03.190	University of Oxford
781	4593490	SAMN04593490		PRJNA315969	SRS1370317	Pathogen: clinical or host-associated sample from Streptococcus agalactiae	Streptococcus agalactiae isolate K60929	Pathogen.cl.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311		Anna Seale	2013	Kenya	Homo sapiens	N/A														recto-vaginal		3.6333 S 39.8500 E		2016-03-31T11:56:14.207	2016-04-01T10:55:32.970	2016-03-31T11:55:03.190	University of Oxford
782	4593489	SAMN04593489		PRJNA315969	SRS1370318	Pathogen: clinical or host-associated sample from Streptococcus agalactiae	Streptococcus agalactiae isolate K60928	Pathogen.cl.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311		Anna Seale	2013	Kenya	Homo sapiens	N/A														recto-vaginal		3.6333 S 39.8500 E		2016-03-31T11:56:14.167	2016-04-01T10:55:32.660	2016-03-31T11:55:03.190	University of Oxford
783	4593488	SAMN04593488		PRJNA315969	SRS1370319	Pathogen: clinical or host-associated sample from Streptococcus agalactiae	Streptococcus agalactiae isolate K60905	Pathogen.cl.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311		Anna Seale	2013	Kenya	Homo sapiens	N/A														recto-vaginal		3.6333 S 39.8500 E		2016-03-31T11:56:14.133	2016-04-01T10:55:32.463	2016-03-31T11:55:03.190	University of Oxford
784	4593487	SAMN04593487		PRJNA315969	SRS1370320	Pathogen: clinical or host-associated sample from Streptococcus agalactiae	Streptococcus agalactiae isolate K60903	Pathogen.cl.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311		Anna Seale	2013	Kenya	Homo sapiens	N/A														recto-vaginal		3.6333 S 39.8500 E		2016-03-31T11:56:14.097	2016-04-01T10:55:32.163	2016-03-31T11:55:03.190	University of Oxford
785	4593486	SAMN04593486		PRJNA315969	SRS1370321	Pathogen: clinical or host-associated sample from Streptococcus agalactiae	Streptococcus agalactiae isolate K60902	Pathogen.cl.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311		Anna Seale	2013	Kenya	Homo sapiens	N/A														recto-vaginal		3.6333 S 39.8500 E		2016-03-31T11:56:14.063	2016-04-01T10:49:03.827	2016-03-31T11:55:03.190	University of Oxford
786	4593485	SAMN04593485		PRJNA315969	SRS1370322	Pathogen: clinical or host-associated sample from Streptococcus agalactiae	Streptococcus agalactiae isolate K60901	Pathogen.cl.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311		Anna Seale	2013	Kenya	Homo sapiens	N/A														recto-vaginal		3.6333 S 39.8500 E		2016-03-31T11:56:14.030	2016-04-01T10:55:31.873	2016-03-31T11:55:03.190	University of Oxford
787	4593484	SAMN04593484		PRJNA315969	SRS1370323	Pathogen: clinical or host-associated sample from Streptococcus agalactiae	Streptococcus agalactiae isolate K60888	Pathogen.cl.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311		Anna Seale	2013	Kenya	Homo sapiens	N/A														recto-vaginal		4.0500 S 39.6667 E		2016-03-31T11:56:13.993	2016-04-01T10:55:31.590	2016-03-31T11:55:03.190	University of Oxford
788	4593483	SAMN04593483		PRJNA315969	SRS1370324	Pathogen: clinical or host-associated sample from Streptococcus agalactiae	Streptococcus agalactiae isolate K60887	Pathogen.cl.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311		Anna Seale	2013	Kenya	Homo sapiens	N/A														recto-vaginal		4.0500 S 39.6667 E		2016-03-31T11:56:13.957	2016-04-01T10:55:31.240	2016-03-31T11:55:03.190	University of Oxford
789	4593482	SAMN04593482		PRJNA315969	SRS1370325	Pathogen: clinical or host-associated sample from Streptococcus agalactiae	Streptococcus agalactiae isolate K60886	Pathogen.cl.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311		Anna Seale	2013	Kenya	Homo sapiens	N/A														recto-vaginal		3.6333 S 39.8500 E		2016-03-31T11:56:13.923	2016-04-01T10:49:04.590	2016-03-31T11:55:03.190	University of Oxford
790	4593481	SAMN04593481		PRJNA315969	SRS1370326	Pathogen: clinical or host-associated sample from Streptococcus agalactiae	Streptococcus agalactiae isolate K60885	Pathogen.cl.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311		Anna Seale	2013	Kenya	Homo sapiens	N/A														recto-vaginal		4.0500 S 39.6667 E		2016-03-31T11:56:13.890	2016-04-01T10:49:04.907	2016-03-31T11:55:03.190	University of Oxford
791	4593480	SAMN04593480		PRJNA315969	SRS1370327	Pathogen: clinical or host-associated sample from Streptococcus agalactiae	Streptococcus agalactiae isolate K60881	Pathogen.cl.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311		Anna Seale	2013	Kenya	Homo sapiens	N/A														recto-vaginal		4.0500 S 39.6667 E		2016-03-31T11:56:13.857	2016-04-01T10:55:30.997	2016-03-31T11:55:03.190	University of Oxford
792	4593479	SAMN04593479		PRJNA315969	SRS1370330	Pathogen: clinical or host-associated sample from Streptococcus agalactiae	Streptococcus agalactiae isolate K60880	Pathogen.cl.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311		Anna Seale	2013	Kenya	Homo sapiens	N/A														recto-vaginal		4.0500 S 39.6667 E		2016-03-31T11:56:13.820	2016-04-01T10:55:30.470	2016-03-31T11:55:03.190	University of Oxford
793	4593478	SAMN04593478		PRJNA315969	SRS1370328	Pathogen: clinical or host-associated sample from Streptococcus agalactiae	Streptococcus agalactiae isolate K60878	Pathogen.cl.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311		Anna Seale	2013	Kenya	Homo sapiens	N/A														recto-vaginal		missing		2016-03-31T11:56:13.787	2016-04-01T10:49:05.430	2016-03-31T11:55:03.190	University of Oxford
794	4593477	SAMN04593477		PRJNA315969	SRS1370329	Pathogen: clinical or host-associated sample from Streptococcus agalactiae	Streptococcus agalactiae isolate K60877	Pathogen.cl.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311		Anna Seale	2013	Kenya	Homo sapiens	N/A														recto-vaginal		3.6333 S 39.8500 E		2016-03-31T11:56:13.750	2016-04-01T10:55:30.743	2016-03-31T11:55:03.190	University of Oxford
795	4593476	SAMN04593476		PRJNA315969	SRS1370331	Pathogen: clinical or host-associated sample from Streptococcus agalactiae	Streptococcus agalactiae isolate K60876	Pathogen.cl.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311		Anna Seale	2013	Kenya	Homo sapiens	N/A														recto-vaginal		3.6333 S 39.8500 E		2016-03-31T11:56:13.713	2016-04-01T10:55:30.183	2016-03-31T11:55:03.190	University of Oxford
796	4593475	SAMN04593475		PRJNA315969	SRS1369994	Pathogen: clinical or host-associated sample from Streptococcus agalactiae	Streptococcus agalactiae isolate K60871	Pathogen.cl.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311		Anna Seale	2013	Kenya	Homo sapiens	N/A														recto-vaginal		3.6333 S 39.8500 E		2016-03-31T11:56:13.677	2016-04-01T10:57:35.950	2016-03-31T11:55:03.190	University of Oxford
797	4593474	SAMN04593474		PRJNA315969	SRS1370332	Pathogen: clinical or host-associated sample from Streptococcus agalactiae	Streptococcus agalactiae isolate K60870	Pathogen.cl.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311		Anna Seale	2013	Kenya	Homo sapiens	N/A														recto-vaginal		3.6333 S 39.8500 E		2016-03-31T11:56:13.643	2016-04-01T10:55:29.930	2016-03-31T11:55:03.190	University of Oxford
798	4593473	SAMN04593473		PRJNA315969	SRS1370334	Pathogen: clinical or host-associated sample from Streptococcus agalactiae	Streptococcus agalactiae isolate K60844	Pathogen.cl.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311		Anna Seale	2013	Kenya	Homo sapiens	N/A														recto-vaginal		3.6333 S 39.8500 E		2016-03-31T11:56:13.607	2016-04-01T10:55:29.410	2016-03-31T11:55:03.190	University of Oxford
799	4593472	SAMN04593472		PRJNA315969	SRS1370333	Pathogen: clinical or host-associated sample from Streptococcus agalactiae	Streptococcus agalactiae isolate K60843	Pathogen.cl.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311		Anna Seale	2013	Kenya	Homo sapiens	N/A														recto-vaginal		3.6333 S 39.8500 E		2016-03-31T11:56:13.577	2016-04-01T10:55:29.680	2016-03-31T11:55:03.190	University of Oxford
800	4593471	SAMN04593471		PRJNA315969	SRS1370335	Pathogen: clinical or host-associated sample from Streptococcus agalactiae	Streptococcus agalactiae isolate K60831	Pathogen.cl.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311		Anna Seale	2013	Kenya	Homo sapiens	N/A														recto-vaginal		3.6333 S 39.8500 E		2016-03-31T11:56:13.540	2016-04-01T10:49:06.227	2016-03-31T11:55:03.190	University of Oxford
801	4593470	SAMN04593470		PRJNA315969	SRS1370336	Pathogen: clinical or host-associated sample from Streptococcus agalactiae	Streptococcus agalactiae isolate K60830	Pathogen.cl.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311		Anna Seale	2013	Kenya	Homo sapiens	N/A														recto-vaginal		3.6333 S 39.8500 E		2016-03-31T11:56:13.497	2016-04-01T10:55:29.120	2016-03-31T11:55:03.190	University of Oxford
802	4593469	SAMN04593469		PRJNA315969	SRS1370337	Pathogen: clinical or host-associated sample from Streptococcus agalactiae	Streptococcus agalactiae isolate K60829	Pathogen.cl.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311		Anna Seale	2013	Kenya	Homo sapiens	N/A														recto-vaginal		3.6333 S 39.8500 E		2016-03-31T11:56:13.463	2016-04-01T10:49:06.690	2016-03-31T11:55:03.190	University of Oxford
803	4593468	SAMN04593468		PRJNA315969	SRS1370338	Pathogen: clinical or host-associated sample from Streptococcus agalactiae	Streptococcus agalactiae isolate K60812	Pathogen.cl.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311		Anna Seale	2013	Kenya	Homo sapiens	N/A														recto-vaginal		3.6333 S 39.8500 E		2016-03-31T11:56:13.427	2016-04-01T10:55:28.887	2016-03-31T11:55:03.190	University of Oxford
804	4593467	SAMN04593467		PRJNA315969	SRS1370339	Pathogen: clinical or host-associated sample from Streptococcus agalactiae	Streptococcus agalactiae isolate K60811	Pathogen.cl.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311		Anna Seale	2013	Kenya	Homo sapiens	N/A														recto-vaginal		3.6333 S 39.8500 E		2016-03-31T11:56:13.390	2016-04-01T10:55:28.617	2016-03-31T11:55:03.190	University of Oxford
805	4593466	SAMN04593466		PRJNA315969	SRS1370340	Pathogen: clinical or host-associated sample from Streptococcus agalactiae	Streptococcus agalactiae isolate K60801	Pathogen.cl.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311		Anna Seale	2013	Kenya	Homo sapiens	N/A														recto-vaginal		3.6333 S 39.8500 E		2016-03-31T11:56:13.360	2016-04-01T10:49:06.970	2016-03-31T11:55:03.190	University of Oxford
806	4593465	SAMN04593465		PRJNA315969	SRS1370341	Pathogen: clinical or host-associated sample from Streptococcus agalactiae	Streptococcus agalactiae isolate K60800	Pathogen.cl.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311		Anna Seale	2013	Kenya	Homo sapiens	N/A														recto-vaginal		3.6333 S 39.8500 E		2016-03-31T11:56:13.313	2016-04-01T10:49:07.453	2016-03-31T11:55:03.190	University of Oxford
807	4593464	SAMN04593464		PRJNA315969	SRS1370343	Pathogen: clinical or host-associated sample from Streptococcus agalactiae	Streptococcus agalactiae isolate K60799	Pathogen.cl.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311		Anna Seale	2013	Kenya	Homo sapiens	N/A														recto-vaginal		4.0500 S 39.6667 E		2016-03-31T11:56:13.277	2016-04-01T10:55:27.997	2016-03-31T11:55:03.190	University of Oxford
808	4593463	SAMN04593463		PRJNA315969	SRS1370344	Pathogen: clinical or host-associated sample from Streptococcus agalactiae	Streptococcus agalactiae isolate K60797	Pathogen.cl.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311		Anna Seale	2013	Kenya	Homo sapiens	N/A														recto-vaginal		4.0500 S 39.6667 E		2016-03-31T11:56:13.237	2016-04-01T10:49:08.053	2016-03-31T11:55:03.190	University of Oxford
809	4593462	SAMN04593462		PRJNA315969	SRS1370342	Pathogen: clinical or host-associated sample from Streptococcus agalactiae	Streptococcus agalactiae isolate K60796	Pathogen.cl.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311		Anna Seale	2013	Kenya	Homo sapiens	N/A														recto-vaginal		3.6333 S 39.8500 E		2016-03-31T11:56:13.203	2016-04-01T10:55:28.300	2016-03-31T11:55:03.190	University of Oxford
810	4593461	SAMN04593461		PRJNA315969	SRS1370345	Pathogen: clinical or host-associated sample from Streptococcus agalactiae	Streptococcus agalactiae isolate K60794	Pathogen.cl.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311		Anna Seale	2013	Kenya	Homo sapiens	N/A														recto-vaginal		4.0500 S 39.6667 E		2016-03-31T11:56:13.160	2016-04-01T10:55:27.767	2016-03-31T11:55:03.190	University of Oxford
811	4593460	SAMN04593460		PRJNA315969	SRS1370346	Pathogen: clinical or host-associated sample from Streptococcus agalactiae	Streptococcus agalactiae isolate K60793	Pathogen.cl.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311		Anna Seale	2013	Kenya	Homo sapiens	N/A														recto-vaginal		4.0500 S 39.6667 E		2016-03-31T11:56:13.120	2016-04-01T10:55:27.547	2016-03-31T11:55:03.190	University of Oxford
